arrival_rate,seed,utilization,fraction_served,mean_number_in_system,mean_delay,total_served,total_arrived,clock_time,,,,,,Arrival Rate,Average Mean Delay
0.01,400430923,0.099976564,1,0.105522028,10.55467636,50000000,50000000,5001172080.8833370209,,,,,,0.01,10.555504
0.01,400474322,0.100014868,0.99999998,0.10556851,10.55528168,50000000,50000001,4999256737.4748783112,,,,,,0.03,12.1426904242
0.01,89101112,0.099989985,1,0.105542703,10.55532739,50000000,50000000,5000500811.0792627335,,,,,,0.04,13.3330097807
0.01,424242,0.100012774,1,0.105565583,10.55520999,50000000,50000000,4999361395.9111366272,,,,,,0.05,14.9996358216
0.01,8675309,0.100022283,1,0.105578985,10.55554636,50000000,50000000,4998886087.1140174866,,,,,,0.06,17.4994350825
0.01,1357911,0.100001593,1,0.105560962,10.55592799,50000000,50000000,4999920352.8745136261,,,,,,0.07,21.6560123358
0.01,24681012,0.100012881,1,0.105570152,10.5556556,50000000,50000000,4999356056.7724885941,,,,,,0.08,29.9231862496
0.01,31415926,0.100020231,1,0.105585596,10.55642391,50000000,50000000,4998988645.3939676285,,,,,,0.09,54.6621697385
0.01,27182818,0.099989065,1,0.105542546,10.55540886,50000000,50000000,5000546810.4883575439,,,,,,0.098,254.6605225178
0.01,16180339,0.099997826,1,0.105553523,10.55558182,50000000,50000000,5000108705.3986854553,,,,,,,
AVG     0.01000 10_seeds        avg_mean_delay  10.5555039957,,,,,,,,,,,,,,,
0.03,400430923,0.29992969,1,0.364146617,12.14106601,50000000,50000000,1667057366.9610457420,,,,,,,
0.03,400474322,0.300044601,0.99999998,0.364322146,12.14226634,50000000,50000001,1666418919.1572520733,,,,,,,
0.03,89101112,0.299969951,1,0.364206457,12.14143135,50000000,50000000,1666833620.9050943851,,,,,,,
0.03,424242,0.30003832,1,0.364374058,12.14425072,50000000,50000000,1666453805.3028266430,,,,,,,
0.03,8675309,0.300066849,1,0.364358927,12.14259185,50000000,50000000,1666295369.0380680561,,,,,,,
0.03,1357911,0.300004778,1,0.364321328,12.14385087,50000000,50000000,1666640124.2915241718,,,,,,,
0.03,24681012,0.30003864,1,0.364336549,12.14298759,50000000,50000000,1666452025.5905127525,,,,,,,
0.03,31415926,0.300060691,0.99999998,0.364375845,12.14340483,50000000,50000001,1666329561.1381359100,,,,,,,
0.03,27182818,0.299967194,1,0.36421703,12.14189542,50000000,50000000,1666848943.4961547852,,,,,,,
0.03,16180339,0.299993476,1,0.364286856,12.14315926,50000000,50000000,1666702910.9006927013,,,,,,,
AVG     0.03000 10_seeds        avg_mean_delay  12.1426904242,,,,,,,,,,,,,,,
0.04,400430923,0.399906253,1,0.53309682,13.33054475,50000000,50000000,1250293027.7208342552,,,,,,,
0.04,400474322,0.400059467,0.99999998,0.533399493,13.33300512,50000000,50000001,1249814191.8687195778,,,,,,,
0.04,89101112,0.399959933,1,0.533174245,13.33069144,50000000,50000000,1250125223.1787214279,,,,,,,
0.04,424242,0.400051093,1,0.53348503,13.33542241,50000000,50000000,1249840356.4777841568,,,,,,,
0.04,8675309,0.40008913,1,0.533443448,13.33311527,50000000,50000000,1249721531.6369419098,,,,,,,
0.04,1357911,0.400006368,0.99999998,0.533382232,13.33434353,50000000,50000001,1249980101.3750410080,,,,,,,
0.04,24681012,0.40005152,1,0.533430533,13.33404592,50000000,50000000,1249839021.6931221485,,,,,,,
0.04,31415926,0.400080915,0.99999994,0.533453627,13.33364345,50000000,50000003,1249747193.3537747860,,,,,,,
0.04,27182818,0.399956258,1,0.53321085,13.33172916,50000000,50000000,1250136710.1220893860,,,,,,,
0.04,16180339,0.3999913,1,0.53333067,13.33355677,50000000,50000000,1250027188.1755962372,,,,,,,
AVG     0.04000 10_seeds        avg_mean_delay  13.3330097807,,,,,,,,,,,,,,,
0.05,400430923,0.499882815,1,0.749635081,14.99621627,50000000,50000000,1000234424.1765630245,,,,,,,
0.05,400474322,0.500074333,0.99999998,0.750103623,14.99984248,50000000,50000001,999851355.4948621988,,,,,,,
0.05,89101112,0.499949913,1,0.749703749,14.99557716,50000000,50000000,1000100184.5434318781,,,,,,,
0.05,424242,0.500063865,1,0.7502363,15.00280969,50000000,50000000,999872287.1818585396,,,,,,,
0.05,8675309,0.50011141,1,0.750222979,15.00111703,50000000,50000000,999777229.3094698191,,,,,,,
0.05,1357911,0.500007956,0.99999996,0.750117042,15.00210213,50000000,50000002,999984089.0998364687,,,,,,,
0.05,24681012,0.500064399,1,0.750190835,15.00188449,50000000,50000000,999871219.3542913198,,,,,,,
0.05,31415926,0.500101134,0.99999992,0.750144194,14.99984989,50000000,50000004,999797772.6829239130,,,,,,,
0.05,27182818,0.49994532,1,0.749778435,14.99720879,50000000,50000000,1000109372.1157134771,,,,,,,
0.05,16180339,0.499989123,1,0.749971199,14.99975028,50000000,50000000,1000021754.5405118465,,,,,,,
AVG     0.05000 10_seeds        avg_mean_delay  14.9996358216,,,,,,,,,,,,,,,
0.06,400430923,0.599859377,1,1.049404569,17.49417628,50000000,50000000,833528688.4805228710,,,,,,,
0.06,400474322,0.600089199,0.99999998,1.050199499,17.50072324,50000000,50000001,833209464.5786260366,,,,,,,
0.06,89101112,0.599939887,0.99999998,1.04940838,17.49189215,50000000,50000001,833416832.2463308573,,,,,,,
