arrival_rate,seed,utilization,fraction_served,mean_number_in_system,mean_delay,total_served,total_arrived,clock_time,,,,,,,Arrival Rate,Average mean Delay (MM1),Average Mean Delay (MD1)
0.01,400430923,0.099986817,1,0.111089637,11.1125342,50000000,50000000,5001607026.8359098434,,,,,,,0.01,11.11087131,10.555504
0.01,400474322,0.100008486,1,0.111118558,11.11025713,50000000,50000000,4999280656.7690830231,,,,,,,0.03,14.28655719,12.14269042
0.01,89101112,0.099998394,1,0.11111706,11.11237139,50000000,50000000,5000299405.9697151184,,,,,,,0.04,16.66762637,13.33300978
0.01,424242,0.100010775,1,0.11111403,11.11113491,50000000,50000000,4999879361.9612112045,,,,,,,0.05,19.99780938,14.99963582
0.01,8675309,0.100038881,1,0.111166804,11.11333763,50000000,50000000,4998496526.4138660431,,,,,,,0.06,24.99576573,17.49943508
0.01,1357911,0.099997014,1,0.111103543,11.10997675,50000000,50000000,4999830100.8104867935,,,,,,,0.07,33.33294905,21.65601234
0.01,24681012,0.09997333,1,0.111073415,11.10694191,50000000,50000000,4999820130.0730943680,,,,,,,0.08,50.01886411,29.92318625
0.01,31415926,0.09998816,1,0.111098002,11.1094646,50000000,50000000,4999848955.2163848877,,,,,,,0.09,100.0406878,54.66216974
0.01,27182818,0.099998771,1,0.111104886,11.11195063,50000000,50000000,5000657932.9278106689,,,,,,,0.098,498.861732,254.6605225
0.01,16180339,0.099988285,1,0.111105282,11.11074394,50000000,50000000,5000097113.2675075531,,,,,,,,,
AVG     0.01000 10_seeds        avg_mean_delay  11.1108713094,,,,,,,,,,,,,,,,,
0.03,400430923,0.299995822,1,0.428612657,14.29083803,50000000,50000000,1667104060.9558322430,,,,,,,,,
0.03,400474322,0.300044625,1,0.428605273,14.28433074,50000000,50000000,1666373660.2551336288,,,,,,,,,
0.03,89101112,0.300028597,1,0.428700963,14.29009194,50000000,50000000,1666673646.5952179432,,,,,,,,,
0.03,424242,0.3000339,1,0.428578483,14.2855673,50000000,50000000,1666622084.9912600517,,,,,,,,,
0.03,8675309,0.300110334,1,0.428872126,14.29158918,50000000,50000000,1666183030.4828662872,,,,,,,,,
0.03,1357911,0.300046801,1,0.42877947,14.29083522,50000000,50000000,1666455163.3909468651,,,,,,,,,
0.03,24681012,0.299922564,1,0.428299784,14.27608464,50000000,50000000,1666599559.3973369598,,,,,,,,,
0.03,31415926,0.299944313,1,0.428480161,14.28272068,50000000,50000000,1666672342.0703399181,,,,,,,,,
0.03,27182818,0.299993049,1,0.428533303,14.28640077,50000000,50000000,1666895041.9446277618,,,,,,,,,
0.03,16180339,0.299995702,1,0.428627114,14.2871134,50000000,50000000,1666613348.4130570889,,,,,,,,,
AVG     0.03000 10_seeds        avg_mean_delay  14.2865571885,,,,,,,,,,,,,,,,,
0.04,400430923,0.399978755,1,0.666689915,16.67194864,50000000,50000000,1250352545.3582217693,,,,,,,,,
0.04,400474322,0.400017515,1,0.66663508,16.66382154,50000000,50000000,1249845833.9663684368,,,,,,,,,
0.04,89101112,0.400001092,1,0.666694588,16.66820615,50000000,50000000,1250063106.6304862499,,,,,,,,,
0.04,424242,0.400066568,1,0.666777624,16.66854957,50000000,50000000,1249933183.1024305820,,,,,,,,,
0.04,8675309,0.400129541,1,0.667035725,16.67142022,50000000,50000000,1249664717.7533776760,,,,,,,,,
0.04,1357911,0.400042707,0.99999996,0.666978199,16.67274945,50000000,50000002,1249872144.2507193089,,,,,,,,,
0.04,24681012,0.399918085,1,0.666444348,16.6599936,50000000,50000000,1249916339.8639254570,,,,,,,,,
0.04,31415926,0.399859164,1,0.666259605,16.65793347,50000000,50000000,1250108317.3594887257,,,,,,,,,
0.04,27182818,0.400011683,1,0.666755317,16.67073041,50000000,50000000,1250138543.2696371078,,,,,,,,,
0.04,16180339,0.399989971,1,0.666854177,16.67091069,50000000,50000000,1249966729.1316616535,,,,,,,,,
AVG     0.04000 10_seeds        avg_mean_delay  16.6676263736,,,,,,,,,,,,,,,,,
0.05,400430923,0.499918118,1,0.999790355,20.00255335,50000000,50000000,1000337383.5058362484,,,,,,,,,
0.05,400474322,0.499962916,1,0.999888996,19.99649286,50000000,50000000,999935640.5916796923,,,,,,,,,
0.05,89101112,0.499953888,1,1.000070026,20.00335999,50000000,50000000,1000097966.6664509773,,,,,,,,,
0.05,424242,0.500030982,1,1.000072946,20.00143441,50000000,50000000,999998774.6948691607,,,,,,,,,
0.05,8675309,0.500050255,0.99999988,1.000268181,20.0022314,50000000,50000006,999843431.6571158171,,,,,,,,,
0.05,1357911,0.499977322,0.99999998,1.000383183,20.00713883,50000000,50000001,999973768.4013140202,,,,,,,,,
0.05,24681012,0.499825507,1,0.999136498,19.9828335,50000000,50000000,1000005181.3329536915,,,,,,,,,
0.05,31415926,0.499786139,1,0.999038477,19.98325675,50000000,50000000,1000124480.5459088087,,,,,,,,,
0.05,27182818,0.500008153,1,1.000018164,20.00270904,50000000,50000000,1000117285.5632666349,,,,,,,,,
0.05,16180339,0.499925651,1,0.999768991,19.99608363,50000000,50000000,1000035198.6742546558,,,,,,,,,
AVG     0.05000 10_seeds        avg_mean_delay  19.9978093764,,,,,,,,,,,,,,,,,
0.06,400430923,0.599875189,0.99999994,1.500565583,25.01841822,50000000,50000003,833632948.4054979086,,,,,,,,,
