arrival_rate,seed,utilization,fraction_served,mean_number_in_system,mean_delay,total_served,total_arrived,clock_time,,,,,Arrival Rate,Mean Average Delay
0.005,400430923,0.149987286,1,0.176448985,35.30030838,50000000,50000000,10002978615.0720844269,,,,,0.005,35.29363207
0.005,400474322,0.150016541,1,0.176483783,35.29123011,50000000,50000000,9998434291.1223278046,,,,,0.01,42.85967157
0.005,89101112,0.149998754,1,0.176491369,35.30025062,50000000,50000000,10000560052.2355213165,,,,,0.015,54.54267998
0.005,424242,0.150026038,1,0.176498343,35.29765511,50000000,50000000,9999429584.0713272095,,,,,0.02,74.98729355
0.005,8675309,0.15005653,1,0.176564949,35.30258222,50000000,50000000,9997052752.9651660919,,,,,0.025,119.9674183
0.005,1357911,0.149988391,1,0.176444359,35.28851149,50000000,50000000,9999897876.4416027069,,,,,0.028,187.503912
0.005,24681012,0.149963763,1,0.176409377,35.28016283,50000000,50000000,9999514623.2311458588,,,,,0.03,300.1216359
0.005,31415926,0.149990145,1,0.176459483,35.28990052,50000000,50000000,9999434417.4353027344,,,,,0.032,753.402696
0.005,27182818,0.149991427,1,0.176444461,35.29432749,50000000,50000000,10001540215.6989841461,,,,,0.033,3034.218764
0.005,16180339,0.149982832,1,0.17645377,35.29139189,50000000,50000000,10000180758.1369113922,,,,,,
AVG     0.00500 10_seeds        avg_mean_delay  35.2936320650,,,,,,,,,,,,,,
0.01,400430923,0.299995822,1,0.428612657,42.87251408,50000000,50000000,5001312182.8687210083,,,,,,
0.01,400474322,0.300044625,1,0.428605273,42.85299221,50000000,50000000,4999120980.7632570267,,,,,,
0.01,89101112,0.300028597,1,0.428700963,42.87027581,50000000,50000000,5000020939.7840852737,,,,,,
0.01,424242,0.3000339,1,0.428578483,42.85670189,50000000,50000000,4999866254.9731254578,,,,,,
0.01,8675309,0.300110334,1,0.428872126,42.87476753,50000000,50000000,4998549091.4494371414,,,,,,
0.01,1357911,0.300046801,1,0.42877947,42.87250567,50000000,50000000,4999365490.1726341248,,,,,,
