arrival_rate,seed,utilization,fraction_served,mean_number_in_system,mean_delay,total_served,total_arrived,clock_time
0.01000,400430923,0.1000109005,1.0000000000,0.1055619385,10.5550432924,50000000,50000000,4999455032.4709959000
0.01000,400474322,0.1000109629,1.0000000000,0.1055660204,10.5554448566,50000000,50000000,4999451914.1207123000
0.01000,89101112,0.1000007373,1.0000000000,0.1055515845,10.5550806219,50000000,50000000,4999963133.2618504000
0.01000,424242,0.1000029208,1.0000000000,0.1055562216,10.5553138666,50000000,50000000,4999853966.4288111000
0.01000,8675309,0.0999972180,0.9999999800,0.1055524493,10.5555385879,50000000,50000001,5000139106.2754087000
0.01000,1357911,0.1000345677,1.0000000000,0.1055976783,10.5561188266,50000000,50000000,4998272211.9799728000
0.01000,24681012,0.1000020985,1.0000000000,0.1055526416,10.5550426642,50000000,50000000,4999895076.6795683000
0.01000,31415926,0.0999984135,1.0000000000,0.1055531107,10.5554785329,50000000,50000000,5000079328.5085297000
0.01000,27182818,0.1000161560,1.0000000000,0.1055695985,10.5552545462,50000000,50000000,4999192330.5608616000
0.01000,16180339,0.1000112443,0.9999999800,0.1055713210,10.5559451564,50000000,50000001,4999437846.7274866000
AVG,0.01000,10_seeds,avg_mean_delay,10.5554260952
0.02000,400430923,0.2000218007,1.0000000000,0.2250123816,11.2493928572,50000000,50000000,2499727521.2354980000
0.02000,400474322,0.2000219254,1.0000000000,0.2250261499,11.2500741813,50000000,50000000,2499725962.0603561000
0.02000,89101112,0.2000014743,1.0000000000,0.2249905594,11.2494450445,50000000,50000000,2499981571.6309252000
0.02000,424242,0.2000058411,0.9999999800,0.2250017110,11.2497569944,50000000,50000001,2499926988.2144055000
0.02000,8675309,0.1999944355,0.9999999800,0.2249687029,11.2487481117,50000000,50000001,2500069558.1377044000
0.02000,1357911,0.2000691350,1.0000000000,0.2251045674,11.2513390631,50000000,50000000,2499136110.9899864000
0.02000,24681012,0.2000041966,1.0000000000,0.2249912670,11.2493273063,50000000,50000000,2499947543.3397841000
0.02000,31415926,0.1999968265,0.9999999800,0.2250001685,11.2501869370,50000000,50000001,2500039669.2542648000
0.02000,27182818,0.2000323116,1.0000000000,0.2250200759,11.2491863989,50000000,50000000,2499596170.2804308000
0.02000,16180339,0.2000224883,0.9999999800,0.2250263140,11.2500507312,50000000,50000001,2499718928.3637433000
AVG,0.02000,10_seeds,avg_mean_delay,11.2497507626
0.03000,400430923,0.3000327004,1.0000000000,0.3643104309,12.1423574970,50000000,50000000,1666485017.4818835000
0.03000,400474322,0.3000328876,1.0000000000,0.3643299039,12.1429989517,50000000,50000000,1666483978.0313575000
0.03000,89101112,0.3000022108,1.0000000000,0.3642608050,12.1419373534,50000000,50000000,1666654384.4128704000
0.03000,424242,0.3000087611,0.9999999800,0.3642962411,12.1428534225,50000000,50000001,1666617995.4682651000
0.03000,8675309,0.2999916527,0.9999999600,0.3642113368,12.1407157032,50000000,50000002,1666713042.0840616000
0.03000,1357911,0.3001037019,1.0000000000,0.3644602486,12.1444769356,50000000,50000000,1666090743.9840746000
0.03000,24681012,0.3000062943,1.0000000000,0.3642682326,12.1420196682,50000000,50000000,1666631698.8852403000
0.03000,31415926,0.2999952392,0.9999999800,0.3643024288,12.1436070071,50000000,50000001,1666693116.1617441000
0.03000,27182818,0.3000484668,1.0000000000,0.3642991146,12.1413423141,50000000,50000000,1666397450.1795721000
