data_arrival_rate,seed,voice_mean_delay,data_mean_delay
1,400474322,47.473,66.548
1,400430923,46.671,67.562
1,12345678,47.533,67.535
1,987654321,47.801,68.092
1,45671234,46.773,64.326
2,400474322,48.78,70.944
2,400430923,49.137,75.936
2,12345678,49.765,77.548
2,987654321,50.309,77.838
2,45671234,50.444,81.311
3,400474322,52.383,85.271
3,400430923,52.267,85.133
3,12345678,52.833,84.989
3,987654321,53.306,84.651
3,45671234,52.787,85.99
4,400474322,55.028,99.683
4,400430923,54.334,93.06
4,12345678,56.7,102.937
4,987654321,55.765,96.193
4,45671234,53.788,93.12
5,400474322,57.971,109.072
5,400430923,55.36,93.873
5,12345678,57.85,113.778
5,987654321,58.124,106.558
5,45671234,58.135,105.822
6,400474322,60.153,119.373
6,400430923,59.19,126.735
6,12345678,60.719,125.93
6,987654321,60.857,124.828
6,45671234,60.021,118.882
7,400474322,62.962,146.167
7,400430923,63.087,141.601
7,12345678,65.725,154.599
7,987654321,63.423,142.951
7,45671234,62.993,144.511
8,400474322,66.479,173.599
8,400430923,64.828,158.534
8,12345678,66.104,185.18
8,987654321,65.873,155.08
8,45671234,65.651,163.012
9,400474322,68.202,181.554
9,400430923,67.851,197.816
9,12345678,69.565,227.103
9,987654321,67.639,185.543
9,45671234,67.139,189.126
10,400474322,71.047,230.13
10,400430923,70.982,244.016
10,12345678,72.508,262.298
10,987654321,71.305,224.213
10,45671234,70.74,224.381
11,400474322,74.555,326.276
11,400430923,75.639,351.585
11,12345678,75.84,369.164
11,987654321,74.399,315.439
11,45671234,71.942,286.185
12,400474322,76.377,365.337
12,400430923,78.535,490.841
12,12345678,78.705,459.087
12,987654321,74.846,415.534
12,45671234,76.685,575.055
13,400474322,76.913,464.39
13,400430923,80.429,854.383
13,12345678,79.848,817.956
13,987654321,79.112,579.147
13,45671234,81.398,611.329
14,400474322,80.93,919.759
14,400430923,82.297,1161.55
14,12345678,82.98,1402.11
14,987654321,82.823,783.45
14,45671234,82.681,1602.202
15,400474322,84.4,4481.557
15,400430923,80.887,2904.458
15,12345678,85.168,6056.438
15,987654321,84.71,4630.628
15,45671234,83.242,6343.044
