num_stations	backoff_duration	arrival_rate	mean_delay	service_fraction					
10	5	0.01	1.1	1					
10	5	0.02	1.3	1					
10	5	0.05	1.9	1					
10	5	0.06	2.2	1					
10	5	0.07	2.5	1					
10	5	0.08	10025278.1	0.69053					
10	10	0.01	1.2	1					
10	10	0.02	1.5	1					
10	10	0.05	2.4	1					
10	10	0.06	2.8	1					
10	10	0.07	3.2	1					
10	10	0.1	4.7	1					
10	10	0.11	5.4	1					
10	10	0.12	6.2	1					
10	10	0.15	9.7	1					
10	10	0.2	18.9	1					
10	10	0.22	2742474.3	0.80573					
10	20	0.01	1.4	1					
10	20	0.02	1.9	1					
10	20	0.05	3.5	1					
10	20	0.1	7.6	1					
10	20	0.15	14.9	1					
10	20	0.2	29.1	1					
10	20	0.22	39.2	1					
10	20	0.25	66.7	0.99999					
5	3	0.01	1.1	1					
5	3	0.02	1.2	1					
5	3	0.05	1.7	1					
5	3	0.06	1.9	1					
5	3	0.07	2.2	1					
5	3	0.08	2.6	1					
5	3	0.1	7.5	1					
5	3	0.12	5547815.9	0.78889					
5	5	0.01	1.1	1					
5	5	0.02	1.3	1					
5	5	0.05	1.8	1					
5	5	0.08	2.5	1					
5	5	0.1	3.2	1					
5	5	0.12	4.1	1					
5	5	0.15	6.3	1					
5	5	0.2	37.7	1					
5	5	0.22	1133562.5	0.91001					
5	7	0.01	1.2	1					
5	7	0.02	1.3	1					
5	7	0.05	2	1					
5	7	0.1	3.5	1					
5	7	0.15	6.4	1					
5	7	0.2	13.2	1					
5	7	0.22	19.1	1					
5	7	0.25	45.7	1					
