num_stations	arrival_rate	station0_delay	other_stations_delay	overal_delay	service_fraction
10	0.01	1.1	1.1	1.1	1
10	0.02	1.1	1.3	1.3	1
10	0.05	1.4	2	2	1
10	0.08	1.8	3.5	3.3	1
10	0.1	2.1	5.76	5.4	1
10	0.12	2.5	15.83	14.5	1
10	0.15	3.1	587.1	528.7	1
10	0.18	3.4	16730.3	15057.6	0.99994
10	0.2	3.3	137461.1	123715.3	0.99983
10	0.25	3.2	306627	275965.5	0.99731
10	0.5	2.9	1303440.68	1173096.9	0.67138
10	1	2.7	957574.81	861817.6	0.42512
5	0.01	1.1	1.1	1.1	1
5	0.02	1.1	1.3	1.2	1
5	0.05	1.3	1.74	1.7	1
5	0.08	1.6	2.9	2.6	1
5	0.1	1.8	4.02	3.8	1
5	0.12	2.1	6.99	6.5	1
5	0.15	2.5	20.39	18.6	1
5	0.18	2.8	402.69	362.7	1
5	0.2	2.9	1456.46	1311.1	0.99965
5	0.25	2.8	98876.58	88989.2	0.99986
5	0.5	2.6	1169813.38	1052832.3	0.69509
5	1	2.7	1519579.37	1367621.7	0.41951
